Nr,x,y,H,Kodi,Përshkrimi,Burimi
Fe01M,7510693.832,4691608.065,659.768,11,Monoment,PM
53367,7511129.711,4691012.013,615.7514,2,Kunjë - shtyllë metalik,PM
53368,7511148.842,4691061.79,615.6627,2,Kunjë - shtyllë metalik,PM
53369,7511186.426,4691158.894,615.958,2,Kunjë - shtyllë metalik,PM
53446,7511110.586,4691024.204,615.7203,2,Kunjë - shtyllë metalik,PM
53447,7511140.074,4691096.769,0,-,-,-
53448,7511167.376,4691165.535,616.0993,2,Kunjë - shtyllë metalik,PM
53449,7511091.461,4691036.394,616.4727,2,Kunjë - shtyllë metalik,PM
53450,7511126.445,4691121.528,616.1938,2,Kunjë - shtyllë metalik,PM
53451,7511147.986,4691172.295,616.18955,2,Kunjë - shtyllë metalik,PM
